22:46:43.175 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_08_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/9b3bdd1f/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Sep 11, 2020 10:46:43 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
22:46:43.575 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.575 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.8.1
22:46:43.575 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
22:46:43.576 INFO  ApplyBQSR - Executing as lkemp@Wintermute on Linux v4.4.0-179-generic amd64
22:46:43.576 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_265-b11
22:46:43.576 INFO  ApplyBQSR - Start Date/Time: 11 September 2020 10:46:43 PM
22:46:43.576 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.576 INFO  ApplyBQSR - ------------------------------------------------------------
22:46:43.577 INFO  ApplyBQSR - HTSJDK Version: 2.23.0
22:46:43.577 INFO  ApplyBQSR - Picard Version: 2.22.8
22:46:43.577 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
22:46:43.578 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
22:46:43.578 INFO  ApplyBQSR - Deflater: IntelDeflater
22:46:43.578 INFO  ApplyBQSR - Inflater: IntelInflater
22:46:43.578 INFO  ApplyBQSR - GCS max retries/reopens: 20
22:46:43.578 INFO  ApplyBQSR - Requester pays: disabled
22:46:43.579 INFO  ApplyBQSR - Initializing engine
22:46:44.078 INFO  ApplyBQSR - Done initializing engine
22:46:44.131 WARN  ApplyBQSR - This tool has only been well tested on ILLUMINA-based sequencing data. For other data use at your own risk.
22:46:44.131 INFO  ProgressMeter - Starting traversal
22:46:44.131 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
23:10:37.705 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
23:10:37.705 INFO  ApplyBQSR - Executing as lkemp@Wintermute on Linux v4.4.0-179-generic amd64
23:10:37.705 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_265-b11
23:10:37.705 INFO  ApplyBQSR - Start Date/Time: 11 September 2020 11:10:37 PM
23:10:37.705 INFO  ApplyBQSR - ------------------------------------------------------------
23:10:37.705 INFO  ApplyBQSR - ------------------------------------------------------------
23:10:37.706 INFO  ApplyBQSR - HTSJDK Version: 2.23.0
23:10:37.706 INFO  ApplyBQSR - Picard Version: 2.22.8
23:10:37.706 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
23:10:37.706 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
23:10:37.706 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
23:10:37.706 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
23:10:37.706 INFO  ApplyBQSR - Deflater: IntelDeflater
23:10:37.706 INFO  ApplyBQSR - Inflater: IntelInflater
23:10:37.706 INFO  ApplyBQSR - GCS max retries/reopens: 20
23:10:37.706 INFO  ApplyBQSR - Requester pays: disabled
23:10:37.706 INFO  ApplyBQSR - Initializing engine
23:10:38.149 INFO  ApplyBQSR - Done initializing engine
23:10:39.605 WARN  ApplyBQSR - This tool has only been well tested on ILLUMINA-based sequencing data. For other data use at your own risk.
23:10:39.605 INFO  ProgressMeter - Starting traversal
23:10:39.605 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
23:10:49.606 INFO  ProgressMeter -            1:6479710              0.2                500000        3000000.0
23:10:59.611 INFO  ProgressMeter -           1:16921413              0.3               1071000        3212197.0
23:11:09.616 INFO  ProgressMeter -           1:24434105              0.5               1543000        3084971.7
23:11:19.615 INFO  ProgressMeter -           1:36773998              0.7               2093000        3138715.3
23:11:29.621 INFO  ProgressMeter -           1:51425721              0.8               2644000        3171848.4
23:11:39.637 INFO  ProgressMeter -           1:84878061              1.0               3196000        3194296.4
23:11:49.647 INFO  ProgressMeter -          1:111442052              1.2               3775000        3233820.2
23:11:59.659 INFO  ProgressMeter -          1:145347402              1.3               4363000        3270042.7
23:12:09.667 INFO  ProgressMeter -          1:150618589              1.5               4905000        3267748.9
23:12:19.671 INFO  ProgressMeter -          1:156347141              1.7               5479000        3285231.7
23:12:29.687 INFO  ProgressMeter -          1:173772420              1.8               6052000        3298631.9
23:12:39.720 INFO  ProgressMeter -          1:202311039              2.0               6648000        3320845.2
23:12:49.724 INFO  ProgressMeter -          1:218507111              2.2               7162000        3302540.8
23:12:59.731 INFO  ProgressMeter -          1:235274697              2.3               7686000        3291061.6
23:13:09.732 INFO  ProgressMeter -           2:11742734              2.5               8231000        3289614.8
23:13:19.749 INFO  ProgressMeter -           2:37230722              2.7               8780000        3289539.4
23:13:29.760 INFO  ProgressMeter -           2:70339500              2.8               9337000        3292409.9
23:13:39.775 INFO  ProgressMeter -           2:96462873              3.0               9928000        3306229.2
23:13:49.777 INFO  ProgressMeter -          2:113127367              3.2              10512000        3316576.6
23:13:59.788 INFO  ProgressMeter -          2:135893172              3.3              11100000        3326972.5
23:14:09.796 INFO  ProgressMeter -          2:172822763              3.5              11665000        3329828.6
23:14:19.810 INFO  ProgressMeter -          2:203426745              3.7              12271000        3343520.8
23:14:29.816 INFO  ProgressMeter -          2:228450350              3.8              12876000        3355892.4
23:14:39.817 INFO  ProgressMeter -            3:9952579              4.0              13485000        3368274.7
23:14:49.827 INFO  ProgressMeter -           3:39187952              4.2              14071000        3374057.3
23:14:59.832 INFO  ProgressMeter -           3:49774679              4.3              14615000        3369750.3
23:15:09.856 INFO  ProgressMeter -           3:72978179              4.5              15188000        3371976.4
23:15:19.872 INFO  ProgressMeter -          3:119243982              4.7              15694000        3359796.2
23:15:29.879 INFO  ProgressMeter -          3:138123799              4.8              16269000        3362822.7
23:15:39.893 INFO  ProgressMeter -          3:179334740              5.0              16858000        3368377.6
23:15:49.892 INFO  ProgressMeter -             4:655961              5.2              17442000        3372748.5
23:15:59.907 INFO  ProgressMeter -            4:9365080              5.3              18055000        3382120.6
23:16:09.908 INFO  ProgressMeter -           4:57193873              5.5              18652000        3388161.8
23:16:19.911 INFO  ProgressMeter -           4:98965731              5.7              19265000        3396648.9
23:16:29.911 INFO  ProgressMeter -          4:140641494              5.8              19830000        3396459.1
23:16:39.913 INFO  ProgressMeter -          4:187510022              6.0              20428000        3401756.3
23:16:49.928 INFO  ProgressMeter -           5:34190717              6.2              21025000        3406494.9
23:16:59.941 INFO  ProgressMeter -           5:68927321              6.3              21619000        3410519.7
23:17:09.943 INFO  ProgressMeter -           5:87770427              6.5              22197000        3411974.8
23:17:19.942 INFO  ProgressMeter -          5:132232576              6.7              22797000        3416671.5
23:17:29.974 INFO  ProgressMeter -          5:140567367              6.8              23165000        3386960.0
23:17:39.985 INFO  ProgressMeter -          5:150561350              7.0              23561000        3362814.6
23:17:49.992 INFO  ProgressMeter -          5:178368245              7.2              24163000        3368549.7
23:18:00.000 INFO  ProgressMeter -           6:26846525              7.3              24781000        3376196.4
23:18:10.001 INFO  ProgressMeter -           6:33384709              7.5              25342000        3375962.5
23:18:20.019 INFO  ProgressMeter -           6:46977306              7.7              25919000        3377721.2
23:18:30.025 INFO  ProgressMeter -           6:90426246              7.8              26519000        3382381.7
23:18:40.040 INFO  ProgressMeter -          6:128348759              8.0              27030000        3375690.8
23:18:50.052 INFO  ProgressMeter -          6:160493005              8.2              27634000        3380671.1
23:19:00.055 INFO  ProgressMeter -           7:14029486              8.3              28233000        3384913.6
23:19:10.055 INFO  ProgressMeter -           7:44555448              8.5              28830000        3388774.6
23:19:20.070 INFO  ProgressMeter -           7:63217600              8.7              29429000        3392626.6
23:19:30.075 INFO  ProgressMeter -           7:75053341              8.8              30007000        3394009.1
23:19:40.092 INFO  ProgressMeter -           7:99627903              9.0              30566000        3393168.4
23:19:50.093 INFO  ProgressMeter -          7:102322627              9.2              31069000        3386340.8
23:20:00.099 INFO  ProgressMeter -          7:132437695              9.3              31648000        3387868.6
23:20:10.105 INFO  ProgressMeter -          7:151261235              9.5              32258000        3392603.0
23:20:20.117 INFO  ProgressMeter -            8:7879262              9.7              32883000        3398689.4
23:20:30.128 INFO  ProgressMeter -           8:29436365              9.8              33498000        3403559.2
23:20:40.143 INFO  ProgressMeter -           8:70042044             10.0              34099000        3406850.9
23:20:50.153 INFO  ProgressMeter -           8:86735471             10.2              34694000        3409467.2
23:21:00.157 INFO  ProgressMeter -           8:86802141             10.3              35301000        3413187.0
