13:12:44.469 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Sep 12, 2020 1:12:44 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
13:12:44.819 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.820 INFO  HaplotypeCaller - The Genome Analysis Toolkit (GATK) v4.1.8.1
13:12:44.820 INFO  HaplotypeCaller - For support and documentation go to https://software.broadinstitute.org/gatk/
13:12:44.820 INFO  HaplotypeCaller - Executing as lkemp@Wintermute on Linux v4.4.0-179-generic amd64
13:12:44.820 INFO  HaplotypeCaller - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_265-b11
13:12:44.820 INFO  HaplotypeCaller - Start Date/Time: 12 September 2020 1:12:44 PM
13:12:44.820 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.821 INFO  HaplotypeCaller - ------------------------------------------------------------
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Version: 2.23.0
13:12:44.821 INFO  HaplotypeCaller - Picard Version: 2.22.8
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.COMPRESSION_LEVEL : 2
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
13:12:44.821 INFO  HaplotypeCaller - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
13:12:44.822 INFO  HaplotypeCaller - Deflater: IntelDeflater
13:12:44.822 INFO  HaplotypeCaller - Inflater: IntelInflater
13:12:44.822 INFO  HaplotypeCaller - GCS max retries/reopens: 20
13:12:44.822 INFO  HaplotypeCaller - Requester pays: disabled
13:12:44.822 INFO  HaplotypeCaller - Initializing engine
13:12:45.194 INFO  FeatureManager - Using codec VCFCodec to read file file:///store/lkemp/publicData/b37/dbsnp_138.b37.vcf
13:12:45.344 INFO  HaplotypeCaller - Done initializing engine
13:12:45.355 INFO  HaplotypeCallerEngine - Disabling physical phasing, which is supported only for reference-model confidence output
13:12:45.370 INFO  NativeLibraryLoader - Loading libgkl_utils.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_utils.so
13:12:45.371 INFO  NativeLibraryLoader - Loading libgkl_pairhmm_omp.so from jar:file:/store/lkemp/resource_benchmarking/resource_bench_02_thread/single/human_genomics_pipeline/workflow/.snakemake/conda/905e741e/share/gatk4-4.1.8.1-0/gatk-package-4.1.8.1-local.jar!/com/intel/gkl/native/libgkl_pairhmm_omp.so
13:12:45.420 INFO  IntelPairHmm - Flush-to-zero (FTZ) is enabled when running PairHMM
13:12:45.420 INFO  IntelPairHmm - Available threads: 2
13:12:45.420 INFO  IntelPairHmm - Requested threads: 2
13:12:45.420 INFO  PairHMM - Using the OpenMP multi-threaded AVX-accelerated native PairHMM implementation
13:12:45.458 INFO  ProgressMeter - Starting traversal
13:12:45.459 INFO  ProgressMeter -        Current Locus  Elapsed Minutes     Regions Processed   Regions/Minute
13:37:15.285 INFO  ProgressMeter -          2:167776581             24.5               1651300          67408.0
13:37:25.329 INFO  ProgressMeter -          2:171260858             24.7               1665240          67515.7
13:37:35.330 INFO  ProgressMeter -          2:174196932             24.8               1677140          67541.7
13:37:45.339 INFO  ProgressMeter -          2:177820505             25.0               1691540          67667.0
13:37:55.345 INFO  ProgressMeter -          2:180961267             25.2               1704070          67716.5
13:38:05.345 INFO  ProgressMeter -          2:185030017             25.3               1719990          67899.4
13:38:15.346 INFO  ProgressMeter -          2:189670901             25.5               1737900          68158.0
13:38:25.346 INFO  ProgressMeter -          2:192295387             25.7               1748430          68125.7
13:38:35.372 INFO  ProgressMeter -          2:197022310             25.8               1766590          68388.0
13:38:45.372 INFO  ProgressMeter -          2:201141071             26.0               1782830          68574.2
13:38:55.410 INFO  ProgressMeter -          2:203632405             26.2               1792850          68518.7
13:39:05.413 INFO  ProgressMeter -          2:206802748             26.3               1805410          68561.9
13:39:15.413 INFO  ProgressMeter -          2:209925658             26.5               1817940          68603.5
13:39:25.414 INFO  ProgressMeter -          2:214013343             26.7               1833880          68772.4
13:39:35.420 INFO  ProgressMeter -          2:217300690             26.8               1847010          68834.3
13:39:45.420 INFO  ProgressMeter -          2:219555225             27.0               1856400          68757.2
13:39:55.423 INFO  ProgressMeter -          2:221653223             27.2               1865050          68653.7
13:40:05.423 INFO  ProgressMeter -          2:225137398             27.3               1878900          68741.8
13:40:15.425 INFO  ProgressMeter -          2:228741483             27.5               1893280          68848.0
13:40:25.431 INFO  ProgressMeter -          2:231848158             27.7               1905860          68887.7
13:40:35.434 INFO  ProgressMeter -          2:233408143             27.8               1912410          68710.4
13:40:45.442 INFO  ProgressMeter -          2:235959179             28.0               1922950          68677.5
13:40:55.447 INFO  ProgressMeter -          2:238977970             28.2               1935240          68707.2
13:41:05.457 INFO  ProgressMeter -          2:241518501             28.3               1945890          68678.6
13:41:15.461 INFO  ProgressMeter -          2:243065107             28.5               1952560          68510.8
13:41:25.471 INFO  ProgressMeter -            3:3214735             28.7               1965770          68572.9
13:41:35.475 INFO  ProgressMeter -            3:6725047             28.8               1979870          68665.4
13:41:45.488 INFO  ProgressMeter -            3:9908863             29.0               1992720          68713.3
13:41:55.501 INFO  ProgressMeter -           3:12226791             29.2               2002460          68654.2
13:42:05.510 INFO  ProgressMeter -           3:14569415             29.3               2012250          68597.4
13:42:15.512 INFO  ProgressMeter -           3:17115088             29.5               2022630          68561.7
13:42:25.514 INFO  ProgressMeter -           3:21634296             29.7               2040180          68768.0
13:42:35.519 INFO  ProgressMeter -           3:25942499             29.8               2057070          68949.8
13:42:45.525 INFO  ProgressMeter -           3:30723433             30.0               2075530          69181.8
13:42:55.533 INFO  ProgressMeter -           3:33722918             30.2               2087410          69193.1
13:43:05.553 INFO  ProgressMeter -           3:37574991             30.3               2102420          69307.0
13:43:15.554 INFO  ProgressMeter -           3:39697332             30.5               2111070          69211.8
13:43:25.560 INFO  ProgressMeter -           3:43031457             30.7               2124370          69269.1
13:43:35.570 INFO  ProgressMeter -           3:45959553             30.8               2136220          69278.7
13:43:45.580 INFO  ProgressMeter -           3:48313171             31.0               2145900          69218.1
13:43:55.621 INFO  ProgressMeter -           3:49726849             31.2               2151700          69032.5
13:44:05.625 INFO  ProgressMeter -           3:52040207             31.3               2161050          68963.6
13:44:15.628 INFO  ProgressMeter -           3:54328511             31.5               2170460          68897.3
13:44:25.628 INFO  ProgressMeter -           3:57562080             31.7               2183540          68947.8
13:44:35.635 INFO  ProgressMeter -           3:60828790             31.8               2196700          69000.0
13:44:45.641 INFO  ProgressMeter -           3:64555492             32.0               2211450          69101.3
13:44:55.646 INFO  ProgressMeter -           3:68831037             32.2               2228300          69266.9
13:45:05.648 INFO  ProgressMeter -           3:72663268             32.3               2243500          69379.8
13:45:15.677 INFO  ProgressMeter -           3:76029262             32.5               2256760          69431.0
13:45:25.681 INFO  ProgressMeter -           3:80747668             32.7               2274830          69629.8
13:45:35.683 INFO  ProgressMeter -           3:86160076             32.8               2295380          69902.1
13:45:45.688 INFO  ProgressMeter -           3:93895093             33.0               2323460          70399.7
13:45:55.703 INFO  ProgressMeter -           3:98521238             33.2               2341160          70579.1
13:46:05.716 INFO  ProgressMeter -          3:102159855             33.3               2355640          70660.1
13:46:15.727 INFO  ProgressMeter -          3:107047941             33.5               2374570          70873.2
13:46:25.728 INFO  ProgressMeter -          3:110224324             33.7               2387070          70893.6
13:46:35.736 INFO  ProgressMeter -          3:113312223             33.8               2399400          70908.6
13:46:45.745 INFO  ProgressMeter -          3:117495644             34.0               2415690          71039.8
13:46:55.755 INFO  ProgressMeter -          3:121232132             34.2               2430390          71123.1
13:47:05.756 INFO  ProgressMeter -          3:123811343             34.3               2441040          71088.0
13:47:15.757 INFO  ProgressMeter -          3:126073695             34.5               2450320          71013.5
13:47:25.765 INFO  ProgressMeter -          3:128499220             34.7               2460500          70965.5
13:47:35.792 INFO  ProgressMeter -          3:130190672             34.8               2467580          70828.3
13:47:45.800 INFO  ProgressMeter -          3:133648898             35.0               2481280          70882.2
13:47:55.804 INFO  ProgressMeter -          3:136665326             35.2               2493370          70890.0
13:48:05.805 INFO  ProgressMeter -          3:140020148             35.3               2506870          70937.6
13:48:15.814 INFO  ProgressMeter -          3:143195338             35.5               2519480          70959.4
13:48:25.822 INFO  ProgressMeter -          3:148415215             35.7               2539490          71188.6
13:48:35.824 INFO  ProgressMeter -          3:151263122             35.8               2550820          71173.6
13:48:45.824 INFO  ProgressMeter -          3:155026929             36.0               2565410          71249.3
13:48:55.827 INFO  ProgressMeter -          3:158552469             36.2               2579290          71304.7
13:49:05.828 INFO  ProgressMeter -          3:163072504             36.3               2596890          71461.9
